Code	Form	Scored	Parent	Route	IsParenteral
7317	Tablet		O-Oral	O-Oral	
7318	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
7319	Suppository		V-Vaginal	V-Vaginal	
7320	Drops, solution		O-Oral	O-Oral	
7321	Powder		T-Topical	T-Topical	
7322	Emulsion		O-Oral	O-Oral	
7323	Injectable, solution		Parentaral	SC-Subcutanous	Parentaral
7327	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
7328	Syrup		O-Oral	O-Oral	
7329	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	Inf-Infusion	Parentaral
7330	Tablet		O-Oral	O-Oral	
7331	Tablet		O-Oral	O-Oral	
7332	Cream		T-Topical	T-Topical	
7333	Tablet, film coated		O-Oral	O-Oral	
7337	Tablet, film coated		O-Oral	O-Oral	
7338	Tablet, film coated		O-Oral	O-Oral	
7339	Tablet		O-Oral	O-Oral	
7340	Tablet, film coated		O-Oral	O-Oral	
7341	Tablet, film coated		O-Oral	O-Oral	
7342	Tablet, film coated		O-Oral	O-Oral	
7343	Tablet, film coated		O-Oral	O-Oral	
7344	Tablet		O-Oral	O-Oral	
7345	Tablet, film coated		O-Oral	O-Oral	
7346	Capsule		O-Oral	O-Oral	
7347	Tablet		O-Oral	O-Oral	
7348	Tablet, film coated		O-Oral	O-Oral	
7349	Tablet, film coated		O-Oral	O-Oral	
7350	Tablet, film coated		O-Oral	O-Oral	
7352	Tablet, film coated		O-Oral	O-Oral	
7353	Tablet, film coated		O-Oral	O-Oral	
7354	Tablet, film coated		O-Oral	O-Oral	
7355	Tablet, film coated		O-Oral	O-Oral	
7356	Tablet, film coated		O-Oral	O-Oral	
7357	Tablet, film coated		O-Oral	O-Oral	
7358	Tablet, film coated		O-Oral	O-Oral	
7359	Tablet, film coated		O-Oral	O-Oral	
7360	Tablet, film coated		O-Oral	O-Oral	
7361	Tablet, film coated		O-Oral	O-Oral	
7362	Tablet, orally disintegrating / mouth dissolving / orodispersible		O-Oral	O-Oral	
7363	Tablet, orally disintegrating / mouth dissolving / orodispersible		O-Oral	O-Oral	
7365	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
7366	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
7367	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
7368	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
7369	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
7371	Tablet, film coated		O-Oral	O-Oral	
7372	Tablet, film coated		O-Oral	O-Oral	
7373	Injectable, solution		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
7374	Injectable, solution		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
7375	Injectable, solution		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
7376	Injectable, solution		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
7377	Injectable, solution		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
7378	Injectable, solution		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
7379	Injectable, solution		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
7381	Injectable, solution		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
7383	Injectable, solution		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
7384	Tablet		O-Oral	O-Oral	
7385	Capsule		O-Oral	O-Oral	
7386	Tablet, film coated		O-Oral	O-Oral	
7387	Tablet, film coated		O-Oral	O-Oral	
7388	Tablet, film coated		O-Oral	O-Oral	
7389	Tablet, film coated		O-Oral	O-Oral	
7390	Tablet, film coated		O-Oral	O-Oral	
7393	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
7394	Tablet, orally disintegrating / mouth dissolving / orodispersible		O-Oral	O-Oral	
7395	Tablet, orally disintegrating / mouth dissolving / orodispersible		O-Oral	O-Oral	
7396	Tablet, film coated		O-Oral	O-Oral	
7397	Tablet, film coated		O-Oral	O-Oral	
7400	Injectable, solution		Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
7401	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
7402	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
7404	Capsule		O-Oral	O-Oral	
7405	Injectable, emulsion		Parentaral	Inf-Infusion	Parentaral
7406	Injectable, powder, for solution CHOOSE with diluent		IV-Intravenous	IV-Intravenous	
7408	Tablet, film coated		O-Oral	O-Oral	
7409	Tablet, film coated		O-Oral	O-Oral	
7410	Tablet, film coated		O-Oral	O-Oral	
7411	Tablet, film coated		O-Oral	O-Oral	
7412	Tablet, film coated		O-Oral	O-Oral	
7413	Tablet, film coated		O-Oral	O-Oral	
7414	Tablet, film coated		O-Oral	O-Oral	
7415	Powder, for solution		O-Res-Oral-Respiratory	O-Res-Oral-Respiratory	
7417	Tablet, film coated		O-Oral	O-Oral	
7419	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
7420	Injectable, solution		IVit-Intravitreal	IVit-Intravitreal	
7421	Tablet		O-Oral	O-Oral	
7422	edit form to be specific		O-Oral	O-Oral	
7423	Tablet, chewable		O-Oral	O-Oral	
7427	Injectable, lyophilised / freeze-dried /  dry powder, for solution CHOOSE with diluent		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
7428	Tablet, coated		O-Oral	O-Oral	
7429	Syrup		O-Oral	O-Oral	
7430	Tablet, film coated		O-Oral	O-Oral	
7431	Tablet, film coated		O-Oral	O-Oral	
7432	Tablet, film coated		O-Oral	O-Oral	
7434	Tablet		O-Oral	O-Oral	
7435	Tablet, film coated		O-Oral	O-Oral	
7436	Tablet, film coated		O-Oral	O-Oral	
7437	Syrup		O-Oral	O-Oral	
7440	Tablet, film coated		O-Oral	O-Oral	
7443	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
7444	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
7445	Metered dose, inhaler		Res-Respiratory	Res-Respiratory	
7446	Metered dose, inhaler		Res-Respiratory	Res-Respiratory	
7447	Metered dose, inhaler		Res-Respiratory	Res-Respiratory	
7452	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
7455	Tablet		O-Oral	O-Oral	
7465	Tablet		O-Oral	O-Oral	
7469	Tablet, film coated		O-Oral	O-Oral	
7470	Tablet, film coated		O-Oral	O-Oral	
7471	Tablet, film coated		O-Oral	O-Oral	
7472	Tablet, film coated		O-Oral	O-Oral	
7479	Tablet, film coated		O-Oral	O-Oral	
7481	Tablet, film coated		O-Oral	O-Oral	
7482	Tablet, film coated		O-Oral	O-Oral	
7483	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
7484	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
7485	Film, orally soluble		O-Oral	O-Oral	
7486	Tablet, chewable		O-Oral	O-Oral	
7487	Tablet, chewable		O-Oral	O-Oral	
7488	Tablet, film coated		O-Oral	O-Oral	
7490	Tablet, film coated		O-Oral	O-Oral	
7491	Tablet, film coated		O-Oral	O-Oral	
7492	Capsule		O-Oral	O-Oral	
7493	Tablet		O-Oral	O-Oral	
7494	Cream		T-Topical	T-Topical	
7495	Capsule		O-Oral	O-Oral	
7496	Tablet		O-Oral	O-Oral	
7497	Tablet		O-Oral	O-Oral	
7498	Tablet		O-Oral	O-Oral	
7500	Injectable, solution		IO-Intraoral	IO-Intraoral	
7502	Suspension		ITrac-Intratracheal	ITrac-Intratracheal	
7506	Tablet		O-Oral	O-Oral	
7507	Elixir		O-Oral	O-Oral	
7508	Tablet		O-Oral	O-Oral	
7509	Tablet, film coated		O-Oral	O-Oral	
7510	Capsule, hard		O-Oral	O-Oral	
7511	Syrup		O-Oral	O-Oral	
7512	Tablet		O-Oral	O-Oral	
7513	Tablet		O-Oral	O-Oral	
7514	Capsule		O-Oral	O-Oral	
7515	Capsule		O-Oral	O-Oral	
7516	Capsule		O-Oral	O-Oral	
7517	Capsule		O-Oral	O-Oral	
7518	Capsule		O-Oral	O-Oral	
7521	Injectable, powder, for solution		Parentaral	SC-Subcutanous	Parentaral
7525	Caplet, film coated		O-Oral	O-Oral	
7526	Caplet, film coated		O-Oral	O-Oral	
7527	Drops, solution		Oph-Ophtalmic	Oph-Ophtalmic	
7530	Syrup		O-Oral	O-Oral	
7531	Cream		T-Topical	T-Topical	
7532	Cream		T-Topical	T-Topical	
7533	Injectable, powder, for solution CHOOSE with diluent		Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
7534	Capsule, inhalation		InhRes-Inhalation or respiratory	InhRes-Inhalation or respiratory	
7535	Tablet, coated		O-Oral	O-Oral	
7536	Tablet		O-Oral	O-Oral	
7539	Cream		T-Topical	T-Topical	
7543	Ointment		T-Topical	T-Topical	
7544	Tablet, coated		O-Oral	O-Oral	
7547	Tablet, film coated		O-Oral	O-Oral	
7548	Powder, for solution		O-Oral	O-Oral	
7551	Injectable, powder, for solution		Parentaral	IV-IM-SC-Intravenous-Intamuscular-Subcutanous	Parentaral
7552	Tablet, coated		O-Oral	O-Oral	
7554	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
7555	Drops, solution		Oph-Ophtalmic	Oph-Ophtalmic	
7558	Solution		T-Topical	T-Topical	
7559	Tablet		O-Oral	O-Oral	
7560	Gel		T-Topical	T-Topical	
7562	Tablet, film coated		O-Oral	O-Oral	
7569	Tablet, film coated		O-Oral	O-Oral	
7570	Tablet		O-Oral	O-Oral	
7571	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7573	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
7576	Tablet		O-Oral	O-Oral	
7579	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	Inf-Infusion	Parentaral
7582	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7583	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7585	Tablet, film coated CHOOSE scored	YES	O-Oral	O-Oral	
7586	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
7587	Injectable powder, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
7589	Capsule		O-Oral	O-Oral	
7591	Capsule		O-Oral	O-Oral	
7594	Injectable, solution		Parentaral	IM-Intramuscular	Parentaral
7595	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
7596	Tablet		O-Oral	O-Oral	
7597	Injectable, solution		Parentaral	IM-Intramuscular	Parentaral
7598	Injectable, powder, for solution		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
7600	Tablet, film coated		O-Oral	O-Oral	
7602	Tablet, film coated		O-Oral	O-Oral	
7603	Tablet, film coated		O-Oral	O-Oral	
7604	Tablet, film coated		O-Oral	O-Oral	
7605	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7606	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7609	Tablet, film coated		O-Oral	O-Oral	
7610	Capsule		O-Oral	O-Oral	
7611	Tablet		O-Oral	O-Oral	
7612	Gel		T-Topical	T-Topical	
7613	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7614	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
7615	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	Inf-Infusion	Parentaral
7617	Injectable, powder, for solution		IV-Intravenous	IV-Intravenous	
7618	Injectable, powder, for solution		IV-Intravenous	IV-Intravenous	
7622	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7624	Injectable, solution		Parentaral	IM-Intramuscular	Parentaral
7626	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
7628	Injectable, powder, for solution		Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
7629	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
7630	Cream		T-Topical	T-Topical	
7631	Tablet, film coated		O-Oral	O-Oral	
7632	Tablet, film coated		O-Oral	O-Oral	
7633	Injectable, solution		Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
7635	Tablet		O-Oral	O-Oral	
7637	Capsule		O-Oral	O-Oral	
7638	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
7639	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
7640	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
7641	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
7642	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
7643	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	Inf-Infusion	Parentaral
7644	Tablet, coated		O-Oral	O-Oral	
7645	Injectable, solution		IO-Intraoral	IO-Intraoral	
7646	Injectable, powder, for solution 		Parentaral	IM-SC-Intramuscular-Subcutanous	Parentaral
7647	Tablet		O-Oral	O-Oral	
7648	Tablet		O-Oral	O-Oral	
7650	Tablet		O-Oral	O-Oral	
7651	Tablet, orally disintegrating / mouth dissolving / orodispersible		O-Oral	O-Oral	
7653	Injectable, solution		Parentaral	SC-Subcutanous	Parentaral
7654	Injectable, solution		Parentaral	SC-Subcutanous	Parentaral
7655	Injectable, solution		Parentaral	SC-Subcutanous	Parentaral
7658	Tablet		O-Oral	O-Oral	
7659	Injectable, solution		Parentaral	IM-Intramuscular	Parentaral
7660	Gel		T-Topical	T-Topical	
7661	Gel		T-Topical	T-Topical	
7662	Drops, solution		Oph-Ophtalmic	Oph-Ophtalmic	
7663	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7664	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7665	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
7666	Tablet, film coated		O-Oral	O-Oral	
7668	Capsule		O-Oral	O-Oral	
7669	Capsule		O-Oral	O-Oral	
7670	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
7671	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
7674	Tablet, film coated		O-Oral	O-Oral	
7675	Tablet, film coated		O-Oral	O-Oral	
7676	Tablet, film coated		O-Oral	O-Oral	
7677	Capsule		O-Oral	O-Oral	
7678	Injectable, solution		IV-Intravenous	IV-Intravenous	
7679	Injectable, solution		IV-Intravenous	IV-Intravenous	
7680	Tablet		O-Oral	O-Oral	
7681	Ovule		V-Vaginal	V-Vaginal	
7685	Gargle / Mouthwash		OG-Oral gingival	OG-Oral gingival	
7687	Cream		T-Topical	T-Topical	
7688	Tablet, film coated		O-Oral	O-Oral	
7689	Tablet		O-Oral	O-Oral	
7694	Tablet, film coated		O-Oral	O-Oral	
7697	Cream		T-Topical	T-Topical	
7698	Tablet, film coated		O-Oral	O-Oral	
7703	Cream		R-Rectal	R-Rectal	
7706	Tablet, film coated		O-Oral	O-Oral	
7707	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
7708	Syrup		O-Oral	O-Oral	
7709	Tablet, effervescent		O-Oral	O-Oral	
7710	Tablet		O-Oral	O-Oral	
7711	Tablet		O-Oral	O-Oral	
7712	Tablet		O-Oral	O-Oral	
7713	Injectable, solution		Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
7715	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
7716	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
7717	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
7718	Solution		T-Topical	T-Topical	
7724	Tablet, film coated		O-Oral	O-Oral	
7726	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
7727	Tablet		O-Oral	O-Oral	
7728	Tablet, film coated		O-Oral	O-Oral	
7729	Solution		T-Topical	T-Topical	
7730	Syrup		O-Oral	O-Oral	
7731	Tablet		O-Oral	O-Oral	
7732	Capsule		O-Oral	O-Oral	
7733	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
7734	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7735	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
7738	Tablet, film coated		O-Oral	O-Oral	
7742	Spray		T-Topical	T-Topical	
7743	Cream		T-Topical	T-Topical	
7744	Tablet, chewable		O-Oral	O-Oral	
7745	Gargle / Mouthwash		OG-Oral gingival	OG-Oral gingival	
7746	Tablet		O-Oral	O-Oral	
7748	Injectable, solution		Parentaral	IM-Intramuscular	Parentaral
7750	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	Inf-Infusion	Parentaral
7752	Capsule		O-Oral	O-Oral	
7753	Injectable, powder, for solution		Parentaral	Inf-Infusion	Parentaral
7754	Injectable, powder, for solution		Parentaral	Inf-Infusion	Parentaral
7755	Tablet, film coated		O-Oral	O-Oral	
7760	Syrup		O-Oral	O-Oral	
7761	Ovule		V-Vaginal	V-Vaginal	
7762	Tablet, film coated		O-Oral	O-Oral	
7763	Tablet, film coated		O-Oral	O-Oral	
7764	Tablet, film coated		O-Oral	O-Oral	
7765	Tablet, film coated		O-Oral	O-Oral	
7766	Tablet, film coated		O-Oral	O-Oral	
7767	Tablet, film coated		O-Oral	O-Oral	
7768	Tablet, film coated		O-Oral	O-Oral	
7769	Tablet, film coated		O-Oral	O-Oral	
7770	Tablet, chewable		O-Oral	O-Oral	
7771	Tablet, chewable		O-Oral	O-Oral	
7772	Tablet, film coated		O-Oral	O-Oral	
7773	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7774	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7775	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7776	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7777	Capsule		O-Oral	O-Oral	
7778	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7779	Injectable, powder, for solution		Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
7781	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7787	Injectable, solution		Parentaral	Inf-IV-IM-SC-Infusion-Intravenous-Intramuscular-Subcutanous	Parentaral
7788	Capsule		O-Oral	O-Oral	
7789	Capsule		O-Oral	O-Oral	
7790	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7791	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7792	Tablet		O-Oral	O-Oral	
7793	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
7798	Tablet, film coated		O-Oral	O-Oral	
7806	Spray		N-Nasal	N-Nasal	
7809	Injectable, solution		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
7811	Tablet, film coated		O-Oral	O-Oral	
7812	Tablet, film coated		O-Oral	O-Oral	
7817	Tablet		O-Oral	O-Oral	
7818	Injectable, powder, for solution		Parentaral	IM-Intramuscular	Parentaral
7819	Injectable, powder, for solution		Parentaral	IM-Intramuscular	Parentaral
7820	Tablet, film coated		O-Oral	O-Oral	
7824	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	Inf-Infusion	Parentaral
7825	Gel		T-Topical	T-Topical	
7826	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
7827	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
7832	Tablet		O-Oral	O-Oral	
7836	Injectable, powder, for solution		Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
7837	Capsule		O-Oral	O-Oral	
7838	Tablet, film coated		O-Oral	O-Oral	
7839	Drops, solution		Oph-Ophtalmic	Oph-Ophtalmic	
7840	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7841	Tablet		O-Oral	O-Oral	
7842	Tablet		O-Oral	O-Oral	
7843	Tablet		O-Oral	O-Oral	
7844	Tablet		O-Oral	O-Oral	
7846	Suppository		R-Rectal	R-Rectal	
7847	Tablet, film coated		O-Oral	O-Oral	
7849	Tablet, film coated		O-Oral	O-Oral	
7850	Injectable, solution		Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
7851	Injectable, solution		Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
7852	Tablet, film coated		O-Oral	O-Oral	
7853	Tablet, film coated		O-Oral	O-Oral	
7855	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
7856	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
7857	Capsule		O-Oral	O-Oral	
7858	Capsule		O-Oral	O-Oral	
7861	Tablet, film coated		O-Oral	O-Oral	
7862	Tablet, film coated		O-Oral	O-Oral	
7864	Tablet, film coated		O-Oral	O-Oral	
7865	Injectable, powder, for solution		Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
7866	Injectable, powder, for solution		Parentaral	Inf-Infusion	Parentaral
7867	Injectable, powder, for solution		Parentaral	Inf-Infusion	Parentaral
7868	Injectable, powder, for solution		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
7869	Cream		T-Topical	T-Topical	
7870	Tablet, film coated		O-Oral	O-Oral	
7871	Tablet, film coated		O-Oral	O-Oral	
7872	Tablet, film coated		O-Oral	O-Oral	
7875	Gel		T-Topical	T-Topical	
7877	Spray		N-Nasal	N-Nasal	
7878	Tablet, film coated		O-Oral	O-Oral	
7879	Tablet, coated		O-Oral	O-Oral	
7882	Capsule		O-Oral	O-Oral	
7884	Tablet		O-Oral	O-Oral	
7889	Tablet, film coated		O-Oral	O-Oral	
7890	Tablet, film coated		O-Oral	O-Oral	
7891	Tablet, film coated		O-Oral	O-Oral	
7892	Tablet, film coated		O-Oral	O-Oral	
7893	Tablet, film coated		O-Oral	O-Oral	
7894	Tablet, film coated		O-Oral	O-Oral	
7895	Tablet, film coated		O-Oral	O-Oral	
7896	Tablet, film coated		O-Oral	O-Oral	
7897	Solution		T-Topical	T-Topical	
7898	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
7907	Powder, inhalation		InhRes-Inhalation or respiratory	InhRes-Inhalation or respiratory	
7908	Powder, inhalation		InhRes-Inhalation or respiratory	InhRes-Inhalation or respiratory	
7909	Syrup		O-Oral	O-Oral	
7910	Suspension		O-Oral	O-Oral	
7911	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
7913	Tablet, film coated		O-Oral	O-Oral	
7918	Capsule		O-Oral	O-Oral	
7919	Tablet, film coated		O-Oral	O-Oral	
7920	Tablet, film coated		O-Oral	O-Oral	
7921	Powder, for suspension		O-Oral	O-Oral	
7922	Tablet, film coated		O-Oral	O-Oral	
7923	Injectable, powder, for solution CHOOSE with diluent		Parentaral	IM-Intramuscular	Parentaral
7926	Tablet, film coated		O-Oral	O-Oral	
7928	Capsule		O-Oral	O-Oral	
7929	Capsule		O-Oral	O-Oral	
7930	Injectable, solution		Parentaral	IV-IM-SC-Intravenous-Intramuscular-Subcutanous	Parentaral
7932	Gel		Oph-Ophtalmic	Oph-Ophtalmic	
7933	Drops, solution		Oph-Ophtalmic	Oph-Ophtalmic	
7934	Tablet, film coated		O-Oral	O-Oral	
7935	Tablet, film coated		O-Oral	O-Oral	
7936	Tablet, film coated		O-Oral	O-Oral	
7938	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
7940	Suppository		R-Rectal	R-Rectal	
7941	Capsule, hard		O-Oral	O-Oral	
7942	Capsule, hard		O-Oral	O-Oral	
7943	Capsule, hard		O-Oral	O-Oral	
7947	Tablet, film coated		O-Oral	O-Oral	
7949	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
7950	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
7951	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
7952	Tablet, film coated		O-Oral	O-Oral	
7956	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	IM-SC-Intramuscular-Subcutanous	Parentaral
7957	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	IM-SC-Intramuscular-Subcutanous	Parentaral
7959	Drops, solution		Oph-Ophtalmic	Oph-Ophtalmic	
7960	Capsule, soft / liquid gel / liquid filled / soft gelatin		O-Oral	O-Oral	
7961	Injectable, solution		Parentaral	SC-Subcutanous	Parentaral
7964	Injectable, solution		Parentaral	Inf-SC-Infusion-Subcutanous	Parentaral
7965	Injectable, solution		Parentaral	Inf-SC-Infusion-Subcutanous	Parentaral
7966	Injectable, solution		Parentaral	SC-Subcutanous	Parentaral
7967	Tablet		O-Oral	O-Oral	
7968	Tablet		O-Oral	O-Oral	
7969	Cream		T-Topical	T-Topical	
7970	Injectable, powder, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
7972	Tablet, film coated		O-Oral	O-Oral	
7973	Powder, for solution		O-Oral	O-Oral	
7974	Injectable, solution		Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
7976	Solution, inhalation		Res-Respiratory	Res-Respiratory	
7978	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
7980	Injectable, powder, for solution CHOOSE with diluent		IV-Intravenous	IV-Intravenous	
7982	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
7985	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
7986	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
7987	Drops, solution		Oph-Ophtalmic	Oph-Ophtalmic	
7989	Capsule, inhalation		InhRes-Inhalation or respiratory	InhRes-Inhalation or respiratory	
7990	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
7991	Tablet		O-Oral	O-Oral	
7992	Tablet		O-Oral	O-Oral	
7993	Tablet		O-Oral	O-Oral	
7994	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7995	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
7996	Tablet, film coated		O-Oral	O-Oral	
7997	Tablet, film coated		O-Oral	O-Oral	
7998	Tablet, film coated		O-Oral	O-Oral	
7999	Tablet		O-Oral	O-Oral	
8000	Tablet		O-Oral	O-Oral	
8001	Tablet		O-Oral	O-Oral	
8002	Tablet, film coated		O-Oral	O-Oral	
8003	Tablet, film coated		O-Oral	O-Oral	
8004	Tablet, film coated		O-Oral	O-Oral	
8005	Tablet, film coated		O-Oral	O-Oral	
8006	Tablet, film coated		O-Oral	O-Oral	
8010	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
8011	Injectable, solution		Parentaral	IV-IM-SC-Intravenous-Intamuscular-Subcutanous	Parentaral
8013	Tablet		O-Oral	O-Oral	
8014	Gel		T-Topical	T-Topical	
8015	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
8016	Tablet, film coated		O-Oral	O-Oral	
8017	Cream		T-Topical	T-Topical	
8018	Implant		TD-Transdermal	TD-Transdermal	
8024	Tablet, film coated		O-Oral	O-Oral	
8025	Tablet, film coated		O-Oral	O-Oral	
8026	Tablet, film coated		O-Oral	O-Oral	
8030	Cream		T-Topical	T-Topical	
8031	Tablet, film coated		O-Oral	O-Oral	
8032	Caplet, film coated		O-Oral	O-Oral	
8033	Tablet, film coated		O-Oral	O-Oral	
8034	Caplet, film coated		O-Oral	O-Oral	
8035	Caplet, film coated		O-Oral	O-Oral	
8036	Tablet, film coated		O-Oral	O-Oral	
