MophCode	RegistrationNumber	DrugName	Dosage	Presentation	Form	Agent	Manufacturer	Country
1468	27237	INHIBACE	5mg	28	Comprimé	Omnipharma	Roche Farma SA	Spain
1469	261398	INHIBACE PLUS	5mg/12.5mg	28	Tablet, film coated	Omnipharma	F. Hoffmann La Roche Ltd	Switzerland
1226	208342	INIPOMP	40mg	14	Tablet	Sadco	Sanofi Winthrop Industrie	France
1227	973363/01	INIPOMP	20mg	28	Tablet	Sadco	Sanofi Winthrop Industrie	France
8370	24732/07	INJECTION OF MESNA	100mg/ml	5x4ml	IV use	Droguerie de l'Union	Cipla Ltd	India
1071	405956/00	INNOHEP	10,000IU anti-Xa/0.5ml	2 syringes of 0.5ml	Injection	UPO S.A.L.	Leo Pharma A/S	Denmark
1072	405954/00	INNOHEP	14,000IU anti-Xa/0.7ml	2 syringes of 0.7ml	Injection	UPO S.A.L.	Leo Pharma A/S	Denmark
1073	405953/00	INNOHEP	18,000IU anti-Xa/0.9ml	2 syringes of 0.9ml	Injection	UPO S.A.L.	Leo Pharma A/S	Denmark
1074	405955/00	INNOHEP	20,000IU anti-Xa/ml	10Vials/ 2ml	Injection	UPO S.A.L.	Leo Pharma A/S	Denmark
3437	208310/02	INNOHEP	3,500 IU/UI ANTI-Xa /0.35ml	10 syringes of 0.35ml	Injection	UPO S.A.L.	Leo Pharma A/S	Denmark
3439	208311/02	INNOHEP	4,500 IU/UI ANTI-Xa /0.45ml	10 syringes of 0.45ml	Injection	UPO S.A.L.	Leo Pharma A/S	Denmark
5731	218852/09	INNOHEP	10,000IU anti-Xa	10Vials x2ml		UPO S.A.L.	Leo Pharma A/S	Denmark
2903	78987/98	INONGAN		55g	Cream	Spephal S.A.L.	Fumouze	France
3073	26659	INSADOL		30ml 	Soluté buvable	No Agent	Syntex division La Roche Navarron	France
3179	26660	INSADOL		40	Compromé dragéifié	No Agent	Syntex division La Roche Navarron	France
3067	23414/75	INSTENON FORTE		20	Dragée	Cesar Chalhoub et Fils	Nycomed Austria GmbH	Austria
2008	405545/00	INSULATARD NOVOLET	100IU/ml	5x3ml		Mersaco	Novo Nordisk AS	Denmark
8167	144614/1	INSULATARD PENFILL	100IU/ml	5x3ml		Mersaco	Novo Nordisk Production SAS, Chartres	France
3155	236744	INSUMAN BASAL	100IU/ml	1Vial x 5ml	Injectable suspension	Mersaco	Sanofi Aventis Deutschland GmbH	Germany
7540	187075/13	INSUMAN BASAL	100IU/ml	1x10ml	Suspension for injection	Mersaco	Sanofi Aventis Deutschland GmbH	Germany
8074	7315/1	INSUMAN BASAL	100IU/ml	5Cartridges x 3ml	Injectable suspension	Mersaco	Sanofi Aventis Deutschland GmbH	Germany
3178	236745	INSUMAN COMB 25	100IU/ml	1Vial x 5ml	Injectable suspension	Mersaco	Sanofi Aventis Deutschland GmbH	Germany
8072	7215/1	INSUMAN COMB 25 	100IU/ml	5Cartridges x 3ml 	Injectable suspension	Mersaco	Sanofi Aventis Deutschland GmbH	Germany
7541	187076/13	INSUMAN COMB 30	100IU/ml	1x10ml	Suspension for injection in a vial	Mersaco	Sanofi Aventis Deutschland GmbH	Germany
3205	236746	INSUMAN RAPID	100IU/ml	1Vialx5ml	Injectable solution	Mersaco	Sanofi Aventis Deutschland GmbH	Germany
7542	187074/13	INSUMAN RAPID	100IU/ml	1x10ml	Solution for injection	Mersaco	Sanofi Aventis Deutschland GmbH	Germany
8073	7415/1	INSUMAN RAPID 	100IU/ml	5Cartridges x3ml 	Injectable solution	Mersaco	Sanofi Aventis Deutschland GmbH	Germany
2516	18335	INTAL		30	Spincaps	No Agent	Fisons Ltd	UK
2552	3974	INTAL		200doses	Inhaler	Mersaco	Fisons Ltd	UK
2537	26348	INTAL 5		112doses	Inhaler	Mersaco	Fisons Ltd	UK
2508	26221	INTAL INHALER		112doses	Aerosol	Mersaco	Fisons Ltd	UK
2644	19388	INTERTOCINE S	10UI	10ml	Injection	No Agent	Intervet International BV	The Netherlands
2667	16757	INTETRIX		20	Gélule	Droguerie de l'Union	Beaufour Ipsen Industrie Distributeur: Beaufour Ipsen Pharma	France
2180	236226	INTRAGLOBIN F		100ml	Injectable solution for IV administration	Mersaco	Biotest Pharma GmbH	Germany
9158	45217/1	INTRATECT	50g/l	1 vial x 100ml	Injectable solution for infusion 	Pharmamed	Biotest Pharma GmbH	Germany
2672	27440	INTRON - A INJECTION	10MIU	1	Vial	Abela Frères S.A.L.	Schering-Plough (Brinny) Co subsidiary of Schering-Plough Corporation, USA	Ireland
5407	24923/07	INVEGA	9mg	28	Tablet, extended release	Mersaco	Janssen Cilag Manufacturing LLC	Puerto Rico
5408	24925/07	INVEGA	3mg	28	Tablet, extended release	Mersaco	Janssen Cilag Manufacturing LLC	Puerto Rico
5409	24924/07	INVEGA	6mg	28	Tablet, extended release	Mersaco	Janssen Cilag Manufacturing LLC	Puerto Rico
7814	75214/1	INVOKANA	100mg	30	Tablet, film coated	Mersaco	Janssen Ortho LLC, Puerto Rico	USA
7815	75114/1	INVOKANA	300mg	30	Tablet, film coated	Mersaco	Janssen Ortho LLC, Puerto Rico	USA
1675	25798	IPOCOL	3g	32	Sachet	Mediterranean Pharmaceutical Company	Lagap SA	Switzerland
3141	20125	IPRADOL	5mcg/2ml	5x2ml	Ampoule	No Agent	Nycomed Austria GmbH	Austria
3153	20129	IPRADOL	0.5mg	20	Tablet	No Agent	Nycomed Austria GmbH	Austria
3186	20128	IPRADOL METERED	0.2mg	25g	Aerosol	No Agent	Nycomed Austria GmbH	Austria
4090	23616/06	IRENAX	100mg/5ml	1vial		Droguerie Phenicia	Sandoz SA	Argentine
7553	186169/13	IRINOTECAN CELL PHARM	40mg (20mg/ml)	1Vial x 2ml	Injectable concentrate for solution for infusion	Drugstore 3U S.A.R.L.	Haupt Pharma Wolfratshausen GmbH	Germany
9119	157616/1	ISENTRESS	400mg	60	Tablet, film coated	Droguerie de l'Union	MSD International GmbH trading as MSD Ireland (Ballydine)	Ireland
7499	186133/13	ISMIGEN	50mg	30	Tablet, sublingual	Mersaco	Bruschettini SRL	Italy
1323	27711	ISO MACK RETARD	20mg	100	Capsule	Food & Drug Corporation FDC	Heinrich Mack Nachf	Germany
4606	19272	ISODEX	30mg	30	Capsule	Pharmadex	Pharmadex	Lebanon
3137	26381	ISOKET	5mg	50	Tablet	Abela Frères S.A.L.	Schwarz Pharma AG	Germany
3138	26382	ISOKET	10mg	50	Tablet	Abela Frères S.A.L.	Schwarz Pharma AG	Germany
3139	208356	ISOKET	0.1%	10amp x 10ml	Injectable solution for infusion	Abela Frères S.A.L.	Schwarz Pharma AG	Germany
3142	26383	ISOKET RETARD	40mg	50	Tablet	Abela Frères S.A.L.	Schwarz Pharma AG	Germany
3143	26384	ISOKET RETARD	120mg	20	Capsule	Abela Frères S.A.L.	Schwarz Pharma AG	Germany
1324	27558	ISOMACK		20ml	Spray	Food & Drug Corporation FDC	Heinrich Mack Nachf	Germany
2099	22956/74	ISOPTIN	80mg	20	Tablet	Mersaco	Abbott GmbH & Co KG	Germany
2698	22954/74	ISOPTIN		5 x 2.2ml	Ampoule	Mersaco	Knoll AG	Germany
2699	22955/74	ISOPTIN	40mg	50	Dragée	Mersaco	Knoll AG	Germany
2100	27532	ISOPTIN SR	240mg	20	Tablet, film coated	Mersaco	Abbott GmbH & Co KG	Germany
2844	26179	ISOPTO ATROPINE	1%	5ml	Collyre	Droguerie R. Pharaon & Fils S.A.L.	SA Alcon Couvreur NV	Belgium
1604	25507	ISORDIL	30mg	100	Tablet	Droguerie Mercury S.A.L.	Wyeth Ayerst Canada Inc	Canada
1605	15793	ISORDIL	10mg	100	Tablet	Droguerie Mercury S.A.L.	Wyeth Ayerst Canada Inc	Canada
1619	19370	ISORDIL SUBLING	5mg	100	Tablet	Droguerie Mercury S.A.L.	Wyeth Ayerst Canada Inc	Canada
4687	2525/94	ISOSORBIDE DINITRATE	10mg	1000	Tablet, scored	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4866	2525/94	ISOSORBIDE DINITRATE	10mg	100	Tablet, scored	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
2691	973345/01	ISOTREXIN		30g	Gel	Abela Frères S.A.L.	Stiefel Laboratories (Ireland) Ltd	Ireland
2094	405656/00	ITRIN	2mg	30	Fractionnable Tablet	Interpharma S.A.L.	Abbott SRL	Italy
2095	405657/00	ITRIN	5mg	14	Tablet	Interpharma S.A.L.	Abbott SRL	Italy
2780	236337	IXEL	25mg	56	Capsule	Mersaco	Pierre Fabre Medicament Production	France
2781	236338	IXEL	50mg	56	Capsule	Mersaco	Pierre Fabre Medicament Production	France
173	24153/79	JACUTIN		50g	Gel	Droguerie Northen Trading	Hermal Kurt Herrmann	Germany
174	24152/79	JACUTIN		95ml	Emulsion	Droguerie Northen Trading	Hermal Kurt Herrmann	Germany
6266	166752/11	JEVTANA INJECTION	60mg/1.5ml	1vial of Jevtana  + 1vial of diluent		Mersaco	Sanofi Aventis Deutschland GmbH	Germany
3221	78738	JONCTUM	200mg	45	Gélule	Benta Trading Co s.a.l.	Marion Merrell SA	France
1789	25893	JOSACINE	125mg	15g	Granules pour suspension buvable	No Agent	Bellon	France
1790	25894	JOSACINE	250mg	15g	Granules pour suspension buvable	No Agent	Bellon	France
1791	25892	JOSACINE	500mg	20g	Granules pour suspension buvable	No Agent	Bellon	France
2133	78859	JOSALID	250mg/5ml	60ml	Granules for oral suspension 	Mersaco	Biochemie GmbH	Austria
2141	78860	JOSALID	500mg	12	Tablet, film coated	Mersaco	Biochemie GmbH	Austria
2142	78858	JOSALID	750mg	12	Tablet, film coated	Mersaco	Biochemie GmbH	Austria
1480	974080/02	JULPHAMOX	250mg/5ml	100ml	Suspension	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
1101	78879/98	KABIKINASE	250.000IU	Vial	Substance for infusion	No Agent	Pharmacia & Upjohn 	Sweden
1102	78880/98	KABIKINASE	1.500.000IU	Vial	Substance for infusion	No Agent	Pharmacia & Upjohn 	Sweden
3583	973321/01	KALETRA	80/20 mg/ml	160ml	Oral Solution	Interpharma S.A.L.	Abbvie Inc	USA
6381	218103/09	KALETRA	200mg/50mg	120	Tablet, film coated	Interpharma S.A.L.	Abbvie Deutschland GmbH & Co KG	Germany
6382	218102/09	KALETRA	100mg/25mg	60	Tablet, film coated	Interpharma S.A.L.	Abbvie Deutschland GmbH & Co KG	Germany
7	26976	KAMILLOSAN		30ml	Liquid	Abela Frères S.A.L.	Asta Medica AG	Germany
8	26977	KAMILLOSAN		20g	Ointment	Abela Frères S.A.L.	Asta Medica AG	Germany
9	26989	KAMILLOSAN		20g	Cream	Abela Frères S.A.L.	Asta Medica AG	Germany
3732	26728	KAY CIEL POWDER		30	Powder	Intermedic	Forest Pharmaceuticals Inc 	USA
7416	221740/08	KEBIR	50mg/25ml	1Vial	Injectable lyophilised IV	IPS "Integrated Pharma Solutions SARL"	Laboratorios Aspen SA	Argentine
1036	26860	KEFADIM	1g	1Vial		Droguerie de l'Union	Eli Lilly & Co	USA
4307	236960/99	KEFLEX	500mg 	12	Capsule	Droguerie de l'Union	Algorithm S.A.L. under license from ELi Lilly Export SA Switzerland	Lebanon
4308	236961/99	KEFLEX	250mg/5ml	60ml	Granules for suspension	Droguerie de l'Union	Algorithm S.A.L.	Lebanon
8182	219515/09	KEFZOL	1g	1Vial		Pharmaline S.A.L.	Pharmaline Licensed by Phadisco Ltd Cyprus	Lebanon
679	2105/72	KEMADRIN	5mg	100	Tablet	Abela Frères S.A.L.	The Wellcome Foundation Ltd	UK
912		KENACOMB		15g	Cream	Abela Frères S.A.L.	E. R. Squibb & Sons Ltd	UK
913		KENACOMB		15g	Ointment	Abela Frères S.A.L.	E. R. Squibb & Sons Ltd	UK
7229	97039/12	KENACORT - A.  I.M.	40mg/ml	1Vial		Abela Frères S.A.L.	Pharmaline Licensed by Glaxo SmithKline Export Ltd , UK	Lebanon
914		KENALOG IN ORABASE		5g	Pate	Pacific pharma	E. R. Squibb & Sons Ltd	UK
7218	186400/13	KENDO  	200mg/ml	12.5 ml 	Oral drops	Macromed S.A.R.L.	ABC Farmaceutici SpA	Italy
532	208046/03	KEPPRA	250mg	100	Tablet	Abela Frères S.A.L.	UCB SA Pharma	Belgium
533	208044/03	KEPPRA	500mg	100	Tablet	Abela Frères S.A.L.	UCB SA Pharma	Belgium
534	208045/03	KEPPRA	1000mg	100	Tablet	Abela Frères S.A.L.	UCB SA Pharma	Belgium
2458	22880/74	KERATYL		5ml	Collyre	Spephal S.A.L.	Chauvin	France
2703	E1875/94	KETAMINE INJ.	250mg	25 x 2.5ml	Ampoule	Pharmacie Minapharm Halabi	Panpharma	France
2702	D1875/94	KETAMINE PANPHARMA	250mg/5ml (50mg/ml)	25ampoules x 5ml	IM/IV	Pharmacie Minapharm Halabi	Rotex Medica	Germany
2704	973856/02	KETEK	400mg	10	Tablet, film coated	Mersaco	Aventis Pharma SpA	Italy
2660	25282	KETOSTERIL		100	Tablet	Benta Trading Co s.a.l.	Fresenius Kabi Deutschland GmbH	Germany
1792	26643	KIDROLASE	10,000IU	10	Flacon	Droguerie de l'Union	Cenexi  - Laboratoire Thissen	Belgium
6629	96211/11	KIOVIG	100mg/ml (1g/10ml)	1 Vial x 10ml	Injectable solution for infusion	Abela Frères S.A.L.	Baxalta Belgium Manufacturing SA	Belgium
6630	96212/11	KIOVIG	100mg/ml (2.5g/25ml)	1 Vial x 25ml	Injectable solution for infusion	Abela Frères S.A.L.	Baxalta Belgium Manufacturing SA	Belgium
6633	96215/11	KIOVIG	100mg/ml (20g/200ml)	1Vial x 200ml	Injectable solution for infusion	Abela Frères S.A.L.	Baxalta Belgium Manufacturing SA	Belgium
2115	27812	KLACID	250mg	14	Tablet	Interpharma S.A.L.	Abbvie SRL	Italy
2170	405433/00	KLACID	2.5%	100ml	Granular suspension	Interpharma S.A.L.	Abbott SRL	Italy
1481	405918/00	KLARIBAC	250mg	14	Tablet	Hikma-Liban S.A.R.L.	Arab Pharmaceutical Manufacturer Co Ltd	Jordan
1482	405917/00	KLARIBAC	500mg	14	Tablet	Hikma-Liban S.A.R.L.	Arab Pharmaceutical Manufacturer Co Ltd	Jordan
789	405459/00	KLAVOX	375mg	20	Tablet	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
791	405460/00	KLAVOX	156mg/5ml	100ml	Syrup	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
805	208729/03	KLAVOX	228mg/5ml	70ml	Suspension	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
2588	261004/97	KLEAN-PREP		4	Sachet	Mectapharm S.A.L.	Helsinn Birex Pharmaceuticals Ltd Distributor: Norgine UK	Ireland
5320	221749/08	KOGENATE FS antihemophilic factor (recombinant)	250IU	1Vial adapter + 1diluent syringe		Droguerie R. Pharaon & Fils S.A.L.	Bayer HealthCare LLC 	USA
5321	221750/08	KOGENATE FS antihemophilic factor (recombinant)	500IU	1Vial adapter + 1diluent syringe		Droguerie R. Pharaon & Fils S.A.L.	Bayer HealthCare LLC 	USA
5322	221851/08	KOGENATE FS antihemophilic factor (recombinant)	1,000IU	1Vial adapter + 1diluent syringe		Droguerie R. Pharaon & Fils S.A.L.	Bayer HealthCare LLC 	USA
9113	17117/1	KOLBET	25mg	60	Tablet, film coated	BroadMed SAL	Toyama Chemical Co Ltd	Japan
7336	96645/12	KOLROS 10MG	10mg	30	Tablet, film coated	Sanofi-Aventis Liban SAL	Benta SAL (Packing) manufactured by Zentiva Ks, Czech Republic 	Lebanon
7334	96646/12	KOLROS 20MG	20mg	30	Tablet, film coated	Sanofi-Aventis Liban SAL	Benta SAL (Packing) manufactured by Zentiva Ks, Czech Republic 	Lebanon
7335	96647/12	KOLROS 40MG	40mg	30	Tablet, film coated	Sanofi-Aventis Liban SAL	Benta SAL (Packing) manufactured by Zentiva Ks, Czech Republic 	Lebanon
6948	096641/12	KOMBIGLYZE XR	2.5mg/1,000mg	60	Tablet, extended release	Omnipharma	Bristol-Myers Squibb Company	USA
6949	096643/12	KOMBIGLYZE XR	5mg/1000mg	30	Tablet, extended release	Omnipharma	Bristol-Myers Squibb Company	USA
6950	096642/12	KOMBIGLYZE XR	5mg/500mg	30	Tablet, extended release	Omnipharma	Bristol-Myers Squibb Company	USA
8995	31017/1	KOMBIGLYZE XR	5mg/500mg	30	Tablet, extended release	Omnipharma	AstraZeneca Pharmaceuticals LP	USA
1483	236439	KONAKION MM	10mg/ml	5	Ampoule	Omnipharma	Cenexi SAS	France
2211	236653	KYBERNIN P	500IU	Dry substance + solvent 10ml		Benta Trading Co s.a.l.	Centeon Pharma GmbH	Germany
3474	195331/04	KYTRIL	1mg/ml	5	Ampoule	Omnipharma	Cenexi SAS	France
3475	195333/04	KYTRIL	1mg	10	Tablet	Omnipharma	F. Hoffmann La Roche Ltd	Switzerland
2713	208371/97	L52		30ml	Gouttes	Pharmacie Mouroueh	Lehning	France
8218	135314/1	LABATINE	10mg	28	Tablet, film coated	PharmaLab SARL	Pharmaceutical works Polpharma SA	Poland
8219	135214/1	LABATINE	20mg	28	Tablet, film coated	PharmaLab SARL	Pharmaceutical works Polpharma SA	Poland
4168	2704/94	LACTATED RINGER'S		500ml 	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon
4170	2704/94	LACTATED RINGER'S		1.000ml 	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon
4171	2704/94	LACTATED RINGER'S		1000ml	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon
2715	974453/00	LACTEOL FORT	170mg	20	Capsule	Macromed S.A.R.L.	Axcan Pharma SA	France
1676	24833/80	LAGAFLEX		20	Tablet	Mediterranean Pharmaceutical Company	Lagap SA	Switzerland
1677	24875/80	LAGASEDIVE		24	Tablet	Mediterranean Pharmaceutical Company	Lagap SA	Switzerland
1678	24831/80	LAGASPASM		20	Tablet	Mediterranean Pharmaceutical Company	Lagap SA	Switzerland
1680	24872/80	LAGATRIM		20	Tablet	Mediterranean Pharmaceutical Company	Lagap SA	Switzerland
857	27740	LAMISIL	250mg	28	Tablet	Khalil Fattal & Fils S.A.L.	Novartis Pharma AG	Switzerland
858	27741	LAMISIL	1%	15g	Cream	Sadco	Novartis Consumer Health SA	Switzerland
1973	405456/00	LAMISIL	1%	30ml	Spray	Mersaco	Novartis Pharma AG	Switzerland
1974	405454/00	LAMISIL	1%	30ml	Topical Solution	Mersaco	Novartis Pharma AG	Switzerland
2752	148201/03	LAMISIL	1%	15ml	Spray	Sadco	Delpharm Huningue SAS Huningue	France
6136	222402/08	LAMISIL DERMGEL	1%	15g	Gel	Sadco	Novartis Consumer Health SA	Switzerland
6139	222395/08	LAMISIL ONCE	1%	4g	Film forming solution	Mersaco	Novartis Consumer Health SA	Switzerland
2459	208875/03	LAMIVIR	150mg	60	Tablet	Droguerie de l'Union	Cipla Ltd	India
6931	218652/10	LAMOTRIX	25mg	30	Tablet	C. Catafago & Co	Medochemie Ltd Limasol	Cyprus
6932	219260/09	LAMOTRIX	50mg	30	Tablet	C. Catafago & Co	Medochemie Ltd Limasol	Cyprus
6933	218337/09	LAMOTRIX	100mg	30	Tablet	C. Catafago & Co	Medochemie Ltd Limasol	Cyprus
663	2106/72	LANOXIN	0.25mg/ml 	5 X 2ml	Injection	Abela Frères S.A.L.	The Wellcome Foundation Ltd	UK
680	2109/72	LANOXIN	0.25mg	100	Tablet	Abela Frères S.A.L.	The Wellcome Foundation Ltd	UK
6045	167094/10	LANOXIN	0.25mg/ml 	5 x 2ml	Injection	Abela Frères S.A.L.	GlaxoSmithKline Manufacturing SpA	Italy
674	27519	LANOXIN PG	0.05mg/ml	60ml	Elixir	Abela Frères S.A.L.	The Wellcome Foundation Ltd	UK
5176	24136/06	LANSOMID	15mg	10	Capsule	Macromed S.A.R.L.	Middle East Pharmaceutical Co Midpharma	Jordan
3707		LANSOYL		225g	Gelée	Raymond Georges Abou Adal & Co	Parke-Davis	France
8047	149214/1	LANTUS	100IU/ml	5Cartridge x 3ml	Injectable solution	Mersaco	Sanofi Aventis Deutschland GmbH	Germany
664	21932/73	LANVIS	40mg	25	Tablet	Abela Frères S.A.L.	The Wellcome Foundation Ltd	UK
2717	208374	LANZOR	15mg	30	Gélule	Mersaco	Sanofi Winthrop Industrie	France
2718	27842	LANZOR	30mg	15	Gélule	Mersaco	Usiphar (Compiegne) distributeur Hoechst Houdé	France
5380	222493/08	LANZOR	15mg	15	Microgranules gastroresistants en Gelule	Mersaco	Sanofi Winthrop Industrie	France
3036	25959	LARGACTIL	100mg	100	Tablet	No Agent	Specia	France
3049	1820/72	LARGACTIL	0.025g	50	Tablet	No Agent	Specia	France
2721	3754/72	LASIX		5 x 2ml	Ampoule	Mersaco	Hoechst AG	Germany
2722	13756	LASIX		25 x 2ml	Ampoule	Benta Trading Co s.a.l.	Hoechst AG	Germany
2723	24815/80	LASIX	40mg	50	Tablet	Benta Trading Co s.a.l.	Hoechst AG	Germany
2725	13755	LASIX	40mg	250	Tablet	Benta Trading Co s.a.l.	Hoechst AG	Germany
5426	221929/09	LASIX 20MG	20mg	5x2ml	Ampoule	Mersaco	Benta SAL under license from Sanofi Aventis Deutschland GmbH Germany 	Lebanon
2726	23040/75	LASIX 250	250mg	5 x 25ml	Ampoule	Mersaco	Hoechst AG	Germany
5428	221931/09	LASIX 250MG	250mg	5x25ml	Ampoule	Mersaco	Benta SAL under license from Sanofi Aventis Deutschland GmbH Germany 	Lebanon
1109	27806	LASTET	100mg	10Amp/5ml	Injection	UPO S.A.L.	Nippon Kayaku	Japan
2653	19380	LAURABOLIN	25mg/ml	5ml	Injection 	No Agent	Intervet International BV	The Netherlands
2659	19381	LAURABOLIN	50mg/ml	10ml	Injection	No Agent	Intervet International BV	The Netherlands
5323	24477/06	LAVOR HBV	100mg	10	Tablet	Droguerie de l'Union	Cipla Ltd	India
7002	186260/13	LAXAFYTOL	25mg	20	Capsule, hard	Mapico S.A.R.L.	Tilman SA	Belgium
6783	97383/12	LEBACEF	2g	1 Vial	Injectable sterile powder for solution for IV infusion	Raymond Georges Abou Adal & Co	Mitim SRL Italy for Arwan Pharmaceutical Industries Lebanon SAL	Lebanon
2331	974031/02	LEMOXOL	1g	1Vial		Macromed S.A.R.L.	Demo SA	Greece
113	25522	LENITRAL	2.5mg	60	Gélule	Ibra Haddad et Fils	Laboratoires Besins International	France
114	25523	LENITRAL	7.5mg	60	Gélule	Ibra Haddad et Fils	Laboratoires Besins International	France
115	26076	LENITRAL INJ. SOLUTION	15mg	50 x 10ml	Ampoule	Ibra Haddad et Fils	Laboratoires Besins International	France
1806	18066	LERMACINE		30	Tablet, coated	PharmaLab SARL	Labatec Pharma SA	Switzerland
3469		LESCOL	20mg	28	Capsule	Khalil Fattal & Fils S.A.L.	Novartis Farmaceutica SA   	Spain
4744	405935/00	LETROX	100mcg	100	Tablet, scored	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
865	  38653/95	LEUCOMAX	150mcg	1+1ml	Vial	No Agent	Schering Plough Products Llc, Las Piedras subsidiary of  Schering-Plough Corporation, USA	Switzerland
866	  38654/95	LEUCOMAX	300mcg	1+1ml	Vial	No Agent	Schering Plough Products Llc, Las Piedras subsidiary of  Schering-Plough Corporation, USA	Switzerland
954	973335/01	LEUCOVORIN CALCIUM	100mg	10Vial	Injection	Pharmamed	Benvenue Laboratories 	USA
959	208253/	LEUCOVORIN CALCIUM	50mg	10Vial	Injection	Pharmamed	Benvenue Laboratories 	USA
665	9237	LEUKERAN	2mg	25	Tablet	Abela Frères S.A.L.	The Wellcome Foundation Ltd	UK
666	09237A	LEUKERAN	5mg	25	Tablet	Abela Frères S.A.L.	The Wellcome Foundation Ltd	UK
7277	187493/13	LEVETIRACETAM ARROW	250mg	60	Tablet, film coated	Darapharma S.A.L.	Arrow Pharm (Malta) Limited	Malta
7278	187479/13	LEVETIRACETAM ARROW	1000mg	60	Tablet, film coated	Darapharma S.A.L.	Arrow Pharm (Malta) Limited	Malta
7279	187494/13	LEVETIRACETAM ARROW	500mg	60	Tablet, film coated	Darapharma S.A.L.	Arrow Pharm (Malta) Limited	Malta
6920	221891/08	LEVIPRAM 1000	1000mg	100	Tablet, film coated	Benta Trading Co s.a.l.	Benta SAL	Lebanon
7351	221888/08	LEVIPRAM 750	750mg	100	Tablet, film coated	Benta Trading Co s.a.l.	Benta SAL	Lebanon
9521	39118/1	LEVIPRAM IV	1500mg/100ml	1poche of 100ml	Solution for infusion	Benta Trading Co s.a.l.	InfoRLife SA, Switzerland for Benta SAL	Lebanon
2693	195003/04	LEVITRA	5mg	4	Tablet, film coated	Droguerie R. Pharaon & Fils S.A.L.	Bayer Schering Pharma AG	Germany
2707	195004/04	LEVITRA	10mg	4	Tablet, film coated	Droguerie R. Pharaon & Fils S.A.L.	Bayer Schering Pharma AG	Germany
8150	105914/1	LEVOFLOXACIN COMBINO PHARM	5mg/ml	10Bottles x 100ml	Injectable solution for infusion	Droguerie Solupharm SAL	B. Braun Medical SA	Spain
2732	405974/00	LEVOTONINE	100mg	100	Gélule	Pharmacie Minapharm Halabi	Laphal Industries	France
4988	236896/99	LEXANE	1.5mg	30	Tablet, scored	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4989	236897/99	LEXANE	3mg	30	Tablet, scored	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4990	236898/99	LEXANE	3mg	1000	Tablet, scored	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4991	236899/99	LEXANE	6mg	30	Tablet, scored	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
1487	23707	LEXOTANIL	6mg	30	Tablet	Omnipharma	Roche SpA	Italy
3215	23675/78	LIDAPRIM		20	Tablet	Cesar Chalhoub et Fils	Nycomed Austria GmbH	Austria
3251	24243/79	LIDAPRIM ORAL POUR ENFANTS		100ml	Suspension	Cesar Chalhoub et Fils	Nycomed Austria GmbH	Austria
1489	974000/02	LIDOCAINE	5%	30g	Ointment	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
6137	167493/10	LIDOCAINE 2% INJ.	2%	48Vials x 50ml		Pharmacie Minapharm Halabi	Renaudin 	France
2737	974490/00 	LIKACIN	100mg/2ml	1	Vial	Droguerie Pentamed	Laboratorio Italiano Biochimico Farmaceutico Lisapharma SpA	Italy
2738	974491/00	LIKACIN	250mg/2ml	1	Vial	Droguerie Pentamed	Laboratorio Italiano Biochimico Farmaceutico Lisapharma SpA	Italy
8798	79116/1	LIMERIK	2g+0.25g	1vial powder + 1solvent amp	Powder and solvent for injectable solution for IM use	Macromed S.A.R.L.	Laboratorio Farmaceutico C.T S.r.l.	Italy
425	13858	LINCOCIN	500mg	12	Capsule	No Agent	N.V. Upjhon SA	Belgium
427	16570	LINCOCIN	250mg/5ml	60ml	Syrup	No Agent	N.V. Upjhon SA	Belgium
2740	27044	LINDILANE		16	Tablet	Codipha	Cassenne	France
6444	218783/09	LINESPAN 600	600mg	4	Tablet, film coated	Droguerie de l'Union	Cipla Ltd	India
38	973434/01	LIPANTHYL	160mg	30	Tablet, film coated	Mersaco	Recipharm Fontaine	France
6567	97890/12	LIPANTHYL	145mg	30	Tablet, film coated	Mersaco	Recipharm Fontaine	France
43	261304	LIPANTHYL 67 M	67mg	60	Gélule	Mersaco	Recipharm Fontaine	France
7019	97463/12	LIPIGARD 	10mg	30	Tablet, film coated	Pharmanet Drugstore S.A.R.L.	Egis Pharmaceuticals PLC	Hungary
105	78821/98	LIPITOR	20mg	30	Tablet, film coated	Droguerie Fattal  S.A.L.	Pfizer Manufacturing Deutschland GmbH for Parke Davis	Germany
