MoPHCode	RegistrationNumber	ResponsibleParty	ResponsiblePartyCountry	CargoShippingTerms
10097	29319/1			FOB
6542	166843/11	Labatec Pharma SA	Switzerland	CIF
6997	186261/13	Panpharma	France	CIF
7198	97227/12	Anfarm Hellas SA	Greece	CIF
11372	112620/1	Demo SA	Greece	CIF
7021	97003/12	Julphar	United Arab Emirates	CIF
6513	222474/08			FOB
8181	61115/1	Merck Canada Inc	Canada	CIF
10994	6522/1			FOB
11739	164423/1	ACS Dobfar S.P.A.	Italy	CIF
11358	43622/1			FOB
5626	24330/06			CIF
9886	13319/1			FOB
6254	167824/11	Labatec Pharma SA	Switzerland	CIF
6776	97203/12	Panpharma	France	CIF
7984	186789/14	Unimed Laboratories	Tunisia	CIF
10096	56319/1	Jazeera Pharmaceutical Industries	Saudi Arabia	CIF
10071	32619/1	Pfizer Ireland Pharmaceuticals	Ireland	CIF
8912	150716/1	Merck Sharp & Dohme (UK) Limited	UK	FOB
4614	2890			FOB
11509	92822/1	Eumedica Pharmaceuticals AG	Switzerland	CIF
4584	34			FOB
4585	34			FOB
1765	27771	Sanofi Aventis	France	CIF
1766	20858	Sanofi Aventis	France	CIF
4390	974245/01			FOB
7168	97242/12	Remedica Ltd 	Cyprus	CIF
1860	405950/00	The Jordanian Pharmaceutical Manufacturing Company (JPM)	Jordan	CIF
9579	46017/1	Abbott Laboratories Ltd	UK	CIF
6410	24657/07			CIF
1861	973920/02	The Jordanian Pharmaceutical Manufacturing Company (JPM)	Jordan	CIF
5331	194489/05			CIF
1557	208328/02			CIF
9578	46417/1	Abbott Laboratories Ltd	UK	CIF
9581	46217/1	Abbott Laboratories Ltd	UK	CIF
5967	23707/06	Dar Al Dawa	Jordan	CIF
9582	46317/1	Abbott Laboratories Ltd	UK	CIF
6047	167087/10	Dar Al Dawa	Jordan	CIF
9580	46117/1	Abbott Laboratories Ltd	UK	CIF
1362	973745/02			CIF
5590	24744/07			CIF
1721	974064/02			CIF
5207	195123/04	Hikma Pharmaceuticals	Jordan	CIF
7136	187476/13	Pfizer Ltd	UK	CIF
6947	96721/12	Pfizer Ltd	UK	CIF
5981	219288/09	Apotex Inc	Canada	CIF
7358	97545/11			FOB
9513	87518/1			FOB
1363	973735/02			CIF
1720	974059/02			CIF
1835	974043/02			CIF
7454	96390/11	SAJA- Saudi Arabia Japanese Pharmaceutical Co	Saudi Arabia	CIF
5617	194496/06	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
4258	195056/04			FOB
808	208727/03			CIF
5206	195099/04	Hikma Pharmaceuticals	Jordan	CIF
7359	97546/11			FOB
9514	87618/1			FOB
9593	110516/1	Bluepharma Genericos-Comercio de Medicamentos, SA	Portugal	CIF
7436	187349/13	Korhispana SL	Spain	CIF
411	19486	Pfizer Holding	France	CIF
412	24542/79	Pfizer Holding	France	CIF
8379	186962/14	The United Pharmaceutical Manufacturing Co Ltd	Jordan	CIF
6404	218693/10	Vianex SA	Greece	CIF
8751	31416/1	Hameln Pharma GmbH	Germany	CIF
2941	974124/01	Panpharma	France	CIF
11614	135023/01	Panpharma	France	CIF
11613	134923/1	Panpharma	France	CIF
10853	95517/1	MS Pharma	Jordan	CIF
6180	24701/07	Anfarm Hellas SA	Greece	CIF
2739	974492/00			CIF
8745	130714/1	Hikma Pharmaceuticals	Jordan	CIF
8399	186504/13	Medicus SA	Greece	CIF
3594	974147/01			CIF
4450	405486/00			FOB
2295	208475	Bayer AG	Germany	CIF
6307	24111/06	The Jordanian Pharmaceutical Manufacturing & Co Ltd	Jordan	CIF
1662	78815/98			CIF
1819	261314	Dar Al Dawa Development & Investment Co Ltd	Jordan	CIF
1840	974042/02			CIF
1139	208268/96			CIF
786	973407/01			CIF
3956	195457/04			CIF
3464	973899/02			CIF
7952	51414/1	Normon SA	Spain	CIF
8991	159516/1			FOB
3166	236284/98	Pharminicio SL	Spain	CIF
5310	221198/08	Panpharma	France	CIF
7093	187500/13	Panpharma	France	CIF
11162	33520/1	Panpharma	France	CIF
5931	218870/09	Hikma Pharmaceuticals	Jordan	CIF
3939	195321/04			CIF
7898	127414/1	Normon SA	Spain	CIF
9397	131017/1			FOB
9916	104916/1	MS Pharma	Jordan	CIF
5938	218560/10	Panpharma	France	CIF
7092	187499/13	Panpharma	France	CIF
4327	25618			FOB
10876	27622/1	Sanofi Aventis Deutschland GmbH	Germany	CIF
7401	187435/13	Hameln Pharma GmbH	Germany	CIF
5694	219537/09	Normon SA	Spain	CIF
11568	105723/1	Laboratorios Basi-Industria Farmaceutica S.A.	Portugal	CIF
7216	96598/12	Les Laboratoires Medis SA	Tunisia	CIF
9426	90016/1	MS Pharma	Jordan	CIF
9571	143816/1			FOB
10875	27522/1	Sanofi Aventis Deutschland GmbH	Germany	CIF
10746	170220/1			FOB
10747	170320/1			FOB
8739	187348/13			FOB
7195	96695/12	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	CIF
5270	222363/08	Laboratorio Elea Phoenix SA	Argentine	CIF
11534	55523/1	Les Laboratoires Medis	Tunisia	CIF
4434	195306/04			FOB
2974	148195/03			CIF
6059	218330/09	Dar Al Dawa Development & Investment Co Ltd	Jordan	CIF
7303	186377/13	Sandoz GmbH	Austria	CIF
7847	92514/1	Sandoz GmbH	Austria	CIF
7233	166783/11	Jordan River Pharmaceutical Industries LLC	Jordan	CIF
9223	48217/1			FOB
10745	170120/1			FOB
7196	96694/12	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	CIF
5271	222364/08	Laboratorio Elea Phoenix SA	Argentine	CIF
6143	167460/10	Dar Al Dawa Development & Investment Co Ltd	Jordan	CIF
11560	15519/1	Jordan River Pharmaceutical Industries LLC	Jordan	CIF
2198	973411/01	Bayer AG	Germany	CIF
2199	973412/01	Bayer AG	Germany	CIF
6917	166518/11	EVA Pharma for Pharmaceuticals and Medical Appliances	Egypt	CIF
9666	185935/13			FOB
9221	68814/1			FOB
11157	122222/1			FOB
11403	67218/1	SAJA- Saudi Arabian Japanese Pharmaceutical Co	Saudi Arabia	CIF
5222	208571/03	Bayer AG	Germany	CIF
9656	72716/1	MS Pharma	Jordan	CIF
6473	96372/11			FOB
11118	181520/1	Hikma Pharmaceuticals	Jordan	CIF
11119	16321/1	Hikma Pharmaceuticals	Jordan	CIF
8397	68715/1			FOB
4357	974246/01			FOB
8010	97999/12			FOB
7250	96860/12	Les Laboratoires Medis SA	Tunisia	CIF
1630	973939/02			CIF
6322	219596/09	Hikma Pharmaceuticals	Jordan	CIF
5366	222450/08			FOB
6406	218750/10	Vianex SA	Greece	CIF
7615	47914/1			FOB
8774	106816/1			FOB
11569	138923/1	Les Laboratoires Medis SA	Tunisia	CIF
9669	118318/1			FOB
10128	197719/1			FOB
5709	219249/09	Sanofi SpA	Italy	CIF
7985	96698/12	Les Laboratoires Medis SA	Tunisia	CIF
3203	27881/94	Sanofi SpA	Italy	CIF
7986	96699/12	Les Laboratoires Medis SA	Tunisia	CIF
9644	95718/1	Panpharma	France	CIF
9399	120217/1	Hikma Pharmaceuticals	Jordan	CIF
9228	112217/1	Norma Hellas S.A	Greece	CIF
10850	200119/1	Pharmis Biopharmaceutical Lda	Portugal	CIF
11113	149420/1	Xellia Pharmaceuticals USA, LLC	USA	CIF
5195	24110/06			CIF
11494	54023/1	AA Pharma Inc.	Canada	CIF
7591	222914/14	Acino Pharma AG	Switzerland	CIF
5916	221709/08	Zambon Switzerland Ltd	Switzerland	CIF
11164	153421/1	Lagap SA	Switzerland	CIF
6460	166945/11	Pfizer Inc	USA	CIF
11765	16722/1	Vem Ilac San. Ve Tic AS	Turkey	CIF
11369	55422/1	Arrow Génériques	France	CIF
11789	77822/1	Hikma Pharmaceuticals	Jordan	CIF
6844	166944/11	Pfizer Inc	USA	CIF
9412	5218/1	Cipla Ltd	India	CIF
11618	31523/1	Stragen France	France	CIF
9985	20319/1	Gilead Sciences Ireland UC	Ireland	CIF
5309	221197/08	Panpharma	France	CIF
9396	145317/1			FOB
9777	105116/1	MS Pharma	Jordan	CIF
4737	195342/04			FOB
4326	208035/03			FOB
3588	208301/96	Pfizer Holding	France	CIF
4735	236407/98			FOB
10561	11521/1			FOB
5987	219509/09	The Jordanian Pharmaceutical Manufacturing & Co Ltd	Jordan	CIF
4324	208886/03			FOB
7287	187429/13	ABC Farmaceutici SpA	Italy	CIF
9101	104116/1			FOB
7137	187454/13	Pfizer Ltd	UK	CIF
8613	185815/13			FOB
5146	194475/05			CIF
10670	42020/1	Dari Pharma, SLU	Spain	CIF
4736	236406/98			FOB
7214	167091/10	Laboratorio Farmaceutico C.T S.r.l.	Italy	CIF
6030	222478/08			FOB
5196	194490/05			CIF
1865	208343/02			CIF
4325	208885/03			FOB
5381	24745/07			CIF
7286	187430/13	ABC Farmaceutici SpA	Italy	CIF
9100	104016/1			FOB
10546	FE17221/1			FOB
4419	236680/99			FOB
4420	974247/01			FOB
7204	167520/10	SAJA- Saudi Arabia Japanese Pharmaceutical Co	Saudi Arabia	CIF
7205	167519/10	SAJA- Saudi Arabia Japanese Pharmaceutical Co	Saudi Arabia	CIF
6922	219723/09	Spimaco 	Saudi Arabia	CIF
11293	157122/1	Stragen France	France	CIF
11600	41421/1	Pfizer Europe MA EEIG	Belgium	CIF
10910	103817/1			FOB
11294	147116/1	Stragen France	France	FOB
10525	174819/1	Pfizer Europe MA EEIG	Belgium	CIF
11292	157722/1	Stragen France	France	CIF
9817	109318/1	Merck Sharp & Dohme (UK) Limited	UK	FOB
10516	126119/1	Hikma Pharmaceuticals	Jordan	FOB
10517	84619/1	Hikma Pharmaceuticals	Jordan	FOB
6965	96393/11	Merck Sharp & Dohme (UK) Limited	UK	CIF
11313	67222/1	Hikma Pharmaceuticals	Jordan	CIF
11297	11718/1	Stragen France	France	CIF
6966	96392/11	Merck Sharp & Dohme (UK) Limited	UK	CIF
11314	67322/1	Hikma Pharmaceuticals	Jordan	CIF
11296	157222/1	Stragen France	France	CIF
10116	189019/1	Astellas Pharma Inc	Japan	CIF
10986	173320/1	The Arab Pharmaceutical Manufacturing PSC	Jordan	CIF
10985	173220/1	The Arab Pharmaceutical Manufacturing PSC	Jordan	CIF
10595	175519/1	Pfizer Europe MA EEIG	Belgium	CIF
688	25642			CIF
11752	54923/01	Polifarma Ilaç San. ve Tic.	Turkey	CIF
11204	75317/1	Julphar	United Arab Emirates	CIF
511	208289/03			CIF
4405	78770/98			FOB
4285	236959/99			FOB
4286	236958/99			FOB
9474	117614/1			FOB
9475	117514/1			FOB
10253	153519/1	Cheplapharm Arzneimittel GmbH	Germany	CIF
9217	122617/1	GlaxoSmithKline Produtos Farmaceuticos Lda	Portugal	CIF
9218	122517/1	GlaxoSmithKline Produtos Farmaceuticos Lda	Portugal	CIF
8763	102116/1	Arrow Génériques	France	CIF
9010	41617/1	Arrow Génériques	France	CIF
5291	221439/08			FOB
7120	166632/11			FOB
11604	26223/1	Cheplapharm Arzneimittel GmbH	Germany	FOB
9819	186549/13			FOB
9069	23617/1	Arrow Génériques	France	FOB
10772	20822/1			FOB
7342	97482/12			FOB
10039	54419/1	Arrow Génériques	France	CIF
7343	96605/12			FOB
10074	54319/1	Arrow Génériques	France	CIF
9933	27919/1	Gilead Sciences Ireland UC	Ireland	CIF
9821	193518/1	Arrow Génériques	France	CIF
10100	161619/1	Laboratoires Biogaran	France	CIF
10591	179518/1			FOB
5293	221175/08			CIF
10712	49419/1	Pharmactive Ilac San. ve Tic. AS		CIF
10688	152019/1	Arrow Génériques	France	CIF
10133	161919/1	Laboratoires Biogaran	France	CIF
10634	30220/1	Hexal AG	Germany	CIF
10353	38714/1			FOB
10822	90618/1	Apotex Inc	Canada	CIF
10711	49519/1	Pharmactive Ilac San. ve Tic. AS	Turkey	CIF
10689	151919/1	Arrow Génériques	France	CIF
10134	161819/1	Laboratoires Biogaran	France	CIF
10633	30120/1	Hexal AG	Germany	CIF
10352	38614/1			FOB
9327	108517/1	Gilead Sciences International Ltd	UK	CIF
7339	96652/12			FOB
7349	218706/10	Benta SAL	Lebanon	FOB
10160	108819/1	Merck Sharp & Dohme BV	The Netherlands	CIF
6443	218842/09	GlaxoSmithKline Australia Pty Ltd	Australia	CIF
1602	405906/00	F. Hoffmann La Roche Ltd, Basel	Switzerland	CIF
10380	195019/1	F. Hoffmann La Roche Ltd	Switzerland	CIF
5449	222473/08			FOB
4682	24341/06			FOB
9322	171417/1	EVA Pharma for Pharmaceuticals and Medical Appliances	Egypt	FOB
9935	20819/1	Gilead Sciences Ireland UC	Ireland	CIF
9934	28119/1	Gilead Sciences Ireland UC	Ireland	CIF
7341	97480/12			FOB
10018	13119/1	Arrow Génériques	France	CIF
9930	28319/1	Gilead Sciences Ireland UC	Ireland	CIF
7340	186386/13			FOB
10351	62918/1			FOB
8067	186254/13			FOB
7344	96635/12			FOB
9167	66217/1	ViiV Healthcare Limited	UK	FOB
9931	28419/1	Gilead Sciences Ireland UC	Ireland	CIF
9900	173218/1	Gilead Sciences Ireland UC	Ireland	CIF
10161	108919/1	Merck Sharp & Dohme BV	The Netherlands	FOB
11410	177119/1	Mylan Laboratories Ltd	India	CIF
8304	71815/1	ViiV Healthcare UKLimited	UK	FOB
10268	152219/1	Merck Sharp & Dohme BV	The Netherlands	FOB
10303	152319/1	Merck Sharp & Dohme BV	The Netherlands	FOB
10640	182320/1	Merck Sharp & Dohme BV	The Netherlands	CIF
10063	92017/1	Kedrion SpA 	Italy	CIF
3272	405919			CIF
9185	11317/1			FOB
6909	96585/12	Oxbridge Pharma Limited	UK	FOB
7075	96407/11	LFB Biomedicaments	France	CIF
6299	96355/11	Grifols Therapeutics Inc	USA	CIF
10064	92117/1	Kedrion SpA 	Italy	CIF
6631	96213/11	Takeda Manufacturing Austria AG	Austria	CIF
3273	405920			CIF
7318	97806/11	Octapharma Pharmazeutika  Produktions GesmbH	Austria	CIF
9184	11417/1			FOB
7074	96408/11	LFB Biomedicaments	France	CIF
10062	92217/1	Kedrion SpA 	Italy	FOB
6632	96214/11	Takeda Manufacturing Austria AG	Austria	CIF
3274	405921			FOB
9186	11517/1			FOB
9716	172518/1			FOB
9717	172618/1			FOB
10478	63320/1	Baxalta Innovations GmbH	Austria	CIF
10479	63420/1	Baxalta Innovations GmbH	Austria	CIF
9718	172818/1			FOB
10065	91917/1	Kedrion SpA 	Italy	CIF
6723	166602/11	Kedrion SpA 	Italy	CIF
4029	23859/07			CIF
6865	166965/11	Octapharma AB	Sweden	CIF
8982	15117/1			FOB
7283	185940/13	Kedrion SpA 	Italy	CIF
9031	90316/1	LFB Biomedicaments	France	CIF
9032	90416/1	LFB Biomedicaments	France	CIF
11059	58920/1	Serum Institute of India Pvt Ltd	India	CIF
11750	104021/1	AstraZeneca AB	Sweden	CIF
11749	104121/1	AstraZeneca AB	Sweden	CIF
11581	39623/1	Serum Institute of India Pvt Ltd	India	CIF
6584	96240/11	Sanofi Pasteur Inc	USA	CIF
11243	43320	Pfizer Europe MA EEIG	Belgium	CIF
11066	151121/1	Sanofi Pasteur Inc	USA	CIF
6451	218895/09	GlaxoSmithKline Biologicals SA	Belgium	CIF
8848	103916/1	Merck Sharp & Dohme Corp	USA	CIF
10310	143019/1	Pfizer Europe MA EEIG	Belgium	CIF
6002	218767/09	GlaxoSmithKline Biologicals SA	Belgium	CIF
10886	152220/1	Serum Institute of India Pvt Ltd	India	CIF
11308	128722/1	Pfizer Europe MA EEIG	Belgium	CIF
11304	72122/1	Merck Sharp & Dohme BV	The Netherlands	CIF
10497	12320/1	Sanofi Pasteur 	France	CIF
10950	53622/1	Biological E Limited	India	CIF
1271	405669/00	OM Pharma SA	Switzerland	CIF
6466	96222/11	OM Pharma SA	Switzerland	CIF
6467	96221/11	OM Pharma SA	Switzerland	CIF
10277	121320/1	Abbott Biologicals BV	The Netherlands	CIF
9809	21919/1	Sanofi Pasteur SA	France	CIF
3188	405530/00	Abbott Biologicals BV	The Netherlands	CIF
32	26275	GlaxoSmithKline Biologicals SA	Belgium	CIF
10584	118820/1	GlaxoSmithKline Biologicals SA	Belgium	CIF
8453	167618/10	Serum Institute of India Ltd	India	CIF
28	135293	GlaxoSmithKline Biologicals SA	Belgium	CIF
33	973725/02			CIF
5673	218859/09	Sanofi Pasteur 	France	CIF
9073	166316/1	Merck Sharp & Dohme Corp, West Point	USA	CIF
11056	61722/1	Sinovac Biotech Co Ltd	China	CIF
11167	61622/1	Sinovac Biotech Co Ltd	China	CIF
3951	973739/02	GlaxoSmithKline Biologicals SA	Belgium	CIF
10164	192219/1	Merck Sharp & Dohme Corp, West Point	USA	CIF
8455	167616/10	Serum Institute of India Ltd	India	CIF
9004	20317/1	Serum Institute of India Pvt Ltd	India	CIF
11058	30320/1	Serum Institute of India Pvt Ltd	India	CIF
5950	24974/07	Merck Sharp & Dohme Corp, West Point	USA	CIF
6634	97957/12	GlaxoSmithKline Biologicals SA	Belgium	CIF
10899	104220/1	Serum Institute of India Pvt Ltd	India	CIF
11057	111722/1	Serum Institute of India Pvt Ltd	India	CIF
31	261329/97			CIF
8947	179716/1	Merck Sharp & Dohme Corp, West Point	USA	CIF
11168	104122/1	Sinovac (Dalian) vaccine Technology Co Ltd	China	CIF
8737	65816/1	Merck Sharp & Dohme Corp, West Point	USA	CIF
5134	208594/03			CIF
5733	219564/09	Sanofi Pasteur 	France	CIF
34	973379/01			CIF
10498	12420/1	Sanofi Pasteur 	France	CIF
5394	23864/07			CIF
8675	59416/1	Sanofi Pasteur 	France	CIF
8454	167972/11	Serum Institute of India Ltd	India	CIF
513	27258	Baxter Oncology GmbH	Germany	CIF
516	27263	Baxter Oncology GmbH	Germany	CIF
8942	151616/1	Accord Healthcare Limited	UK	CIF
9104	23017/1	Medac Gesellschaft Fur Klinische Spezialpraparate mbH	Germany	CIF
7587	186958/14	Astellas Pharma GmbH	Germany	CIF
11804	131123/1	Pharmaand GmbH (Pharma & GmbH, Austria)	Austria	CIF
8943	151516/1	Accord Healthcare Limited	UK	CIF
11631	113622/1	Pharminicio SL	Spain	CIF
9103	22917/1	Medac Gesellschaft Fur Klinische Spezialpraparate mbH	Germany	CIF
9333	100717/1	Hikma Pharmaceuticals	Jordan	CIF
10785	94421/1	Adienne SA	Switzerland	CIF
8715	124916/1	Merck Sharp & Dohme Ltd	UK	CIF
9583	40616/1	Hikma Pharmaceuticals	Jordan	CIF
9056	168816/1	Accord Healthcare Limited	UK	CIF
11608	114122/1	Pharminicio SL	Spain	CIF
8714	124816/1	Merck Sharp & Dohme Ltd	UK	CIF
10262	22419/1	Hikma Pharmaceuticals	Jordan	CIF
9055	168716/1	Accord Healthcare Limited	UK	CIF
11605	114222/1	Pharminicio SL	Spain	CIF
8713	124716/1	Merck Sharp & Dohme Ltd	UK	CIF
9054	168616/1	Accord Healthcare Limited	UK	CIF
11607	114322/1	Pharminicio SL	Spain	CIF
10263	22319/1	Hikma Pharmaceuticals	Jordan	CIF
9053	168516/1	Accord Healthcare Limited	UK	CIF
11606	114422/1	Pharminicio SL	Spain	CIF
7865	86814/1	Medac Gesellschaft Fur Klinische Spezialpraparate mbH	Germany	CIF
7867	86614/1	Medac Gesellschaft Fur Klinische Spezialpraparate mbH	Germany	CIF
6206	167486/10	Ebewe Pharma GesmbH.NFG.KG	Austria	CIF
9765	147618/1	Ebewe Pharma GesmbH.NFG.KG	Austria	CIF
10494	189919/1	Lilly France	France	CIF
9444	130717/1	Accord Healthcare Limited	UK	CIF
10989	222/1	Ever Valinject GmbH 	Austria	CIF
11570	116822/1	Pharminicio SL	Spain	FOB
10995	34420/1			CIF
11263	6321/1			FOB
11223	109220/1	Stragen France	France	CIF
11224	109320/1	Stragen France	France	CIF
11007	164220/1	Hikma Pharmaceuticals	Jordan	FOB
10495	190019/1	Lilly France	France	CIF
10990	122/1	Ever Valinject GmbH 	Austria	CIF
11009	34320/1	Neapolis Pharma	Tunisia	CIF
11222	109120/1	Stragen France	France	CIF
6962	96700/12	Aspen Pharma Trading Limited	Ireland	CIF
6562	96205/11	Lipomed AG	Switzerland	FOB
7068	186472/12	Lipomed AG	Switzerland	FOB
10977	15522/1	Merck Europe BV	The Netherlands	CIF
5679	218031/09	Ebewe Pharma GesmbH.NFG.KG	Austria	CIF
11012	55021/1	Neapolis Pharma	Tunisia	CIF
7266	97675/11	Sanofi BV	The Netherlands	CIF
3358	195035/04			CIF
5327	221412/08			CIF
8733	66316/1	Ebewe Pharma GesmbH.NFG.KG	Austria	CIF
8814	111716/1	Meda Pharma GmbH & Co KG	Germany	CIF
11524	20220/1	Sandoz Pharmaceuticals AG	Switzerland	CIF
11010	142120/1	Neapolis Pharma	Tunisia	CIF
5798	218888/09	Hikma Pharmaceuticals	Jordan	CIF
7050	166919/11	Vianex SA	Greece	CIF
5091	24969/07			FOB
10974	23022/1	GP-Pharm, SA	Argentine	CIF
7444	185971/13	Stadapharm GmbH	Germany	CIF
11523	20320/1	Sandoz Pharmaceuticals AG	Switzerland	CIF
11011	142020/1	Neapolis Pharma	Tunisia	CIF
5779	218889/09	Hikma Pharmaceuticals	Jordan	CIF
7051	166920/11	Vianex SA	Greece	CIF
5092	24968/07			FOB
10955	137021/1	GP-Pharm, SA	Argentine	CIF
11510	18923/1	Cheplapharm Arzneimittel GmbH	Germany	CIF
8479	133715/1	Accord Healthcare Limited	UK	CIF
9326	112917/1	Laboratoires Biogaran	France	CIF
11620	112722/1	Pharminicio SL	Spain	CIF
11152	124521/1	Neapolis Pharma	Tunisia	CIF
11266	8121/1			FOB
5766	218753/09			FOB
8016	67914/1	Hikma Pharmaceuticals	Jordan	CIF
11267	6321/1			FOB
11477	1122/1	Bristol-Myers Squibb Pharma EEIG	Ireland	CIF
11875	55424/1	Arrow Génériques	France	CIF
11177	151322/1	Ever Valinject GmbH 	Austria	CIF
10154	99219/1	Neapolis Pharma	Tunisia	CIF
11270	177720/1			FOB
10683	3919/1			FOB
10920	129920/1	Hikma Pharmaceuticals	Jordan	CIF
6497	167159/10	Janssen Pharmaceutica NV	Belgium	CIF
11542	33923/1	Janssen Cilag  International NV	Belgium	CIF
9051	18817/1	Les Laboratoires Servier	France	CIF
9052	18917/1	Les Laboratoires Servier	France	CIF
7452	186077/13	Stadapharm GmbH	Germany	CIF
5153	222222/07			CIF
2805	208848/03	Pierre Fabre Medicament 	France	CIF
2813	208849/03	Pierre Fabre Medicament 	France	CIF
2511	135396			CIF
6779	97378/12			FOB
6652	219219/09			FOB
7369	166953/11	Vianex SA	Greece	CIF
11521	20010/1	Sandoz Pharmaceuticals AG	Switzerland	CIF
6650	219217/09			FOB
10960	11221/1	Neapolis Pharma	Tunisia	CIF
10657	12921/1	Bioprofarma Bago SA	Argentine	CIF
7367	166951/11	Vianex SA	Greece	CIF
6651	219218/09			FOB
10656	12621	Bioprofarma Bago SA	Argentine	CIF
7368	166952/11	Vianex SA	Greece	CIF
3577	195294/04			CIF
10959	11121/1	Neapolis Pharma	Tunisia	CIF
10655	12721/1	Bioprofarma Bago SA	Argentine	CIF
11001	93321/1	Bristol-Myers Squibb Pharma EEIG	Ireland	CIF
1779	208379/97	Aventis Pharma SA	France	CIF
11069	81922/1	Sanofi Mature IP	France	CIF
8735	56916/1	Accord Healthcare Limited	UK	CIF
5866	218935/10	Ebewe Pharma GesmbH.NFG.KG	Austria	CIF
1731	148395/04			CIF
11268	7821/1			FOB
1780	208396/97	Aventis Pharma SA	France	CIF
11068	81822/1	Sanofi Mature IP	France	CIF
8734	56816/1	Accord Healthcare Limited	UK	CIF
5867	218936/10	Ebewe Pharma GesmbH.NFG.KG	Austria	CIF
3576	194595/04			CIF
11865	14724/1	Sanofi Winthrop Industrie	France	CIF
8701	66016/1	Sanofi Aventis Groupe	France	CIF
10672	60621/1	Ever Valinject GmbH 	Austria	CIF
8862	129916/1	Novartis Pharma AG	Switzerland	CIF
11520	4923/1	Sandoz Pharmaceuticals AG	Switzerland	CIF
5193	24323/06			CIF
10654	13121/1	Bioprofarma Bago SA	Argentine	CIF
1732	148394/04			CIF
6906	97467/12	Hospira UK Ltd	UK	CIF
6464	218947/10	Hikma Pharmaceuticals	Jordan	CIF
10216	56317/1			FOB
6463	218948/10	Hikma Pharmaceuticals	Jordan	CIF
10217	56217/1			FOB
10715	29621/1	Pharma Mar SA 	Spain	CIF
2480	135398			CIF
7726	187091/13	Stadapharm GmbH	Germany	CIF
10684	164119/1	Meiji Pharma Spain SA	Spain	CIF
2479	135397			CIF
11020	40122/1	Baxter Holding BV	The Netherlands	FOB
10996	26721/1	Sanofi Aventis France	France	CIF
6653	218857/09			FOB
6654	218858/09			FOB
11601	22522/1	Pfizer Holding	France	CIF
3952	194342/05			CIF
7551	186649/13	Stadapharm GmbH	Germany	CIF
7397	166541/11	Hikma Pharmaceuticals	Jordan	FOB
8210	185820/13			FOB
10952	136921/1	GP-Pharm, SA	Argentine	CIF
10956	90922/1	Neapolis Pharma	Tunisia	CIF
11264	6521/1			FOB
7294	187474/13			FOB
4041	24542/07	Novartis Pharma AG	Switzerland	CIF
7884	149914/1	Apotex Inc	Canada	CIF
7396	166542/11	Hikma Pharmaceuticals	Jordan	CIF
7491	185822/13			FOB
7308	185821/13			FOB
10951	23222/1	GP-Pharm, SA	Argentine	CIF
10957	90722/1	Neapolis Pharma	Tunisia	CIF
10958	90822/1	Neapolis Pharma	Tunisia	CIF
11265	6621/1			FOB
7296	187475/13			FOB
4017	24536/07			CIF
11103	21521/1	Apotex Inc	Canada	FOB
11133	147722/1	1A Pharma GmbH	Germany	CIF
10963	622/1	Neapolis Pharma	Tunisia	CIF
11006	319/1	Hikma Pharmaceuticals	Jordan	CIF
4018	24535/07			CIF
11104	21421/1	Apotex Inc	Canada	FOB
11132	114120/1	1A Pharma GmbH	Germany	CIF
10965	722/1	Neapolis Pharma	Tunisia	CIF
11005	219/1	Hikma Pharmaceuticals	Jordan	CIF
11105	21321/1	Apotex Inc	Canada	FOB
11131	147255/1	1A Pharma GmbH	Germany	CIF
10964	422/1	Neapolis Pharma	Tunisia	CIF
11004	119/1	Hikma Pharmaceuticals	Jordan	CIF
10961	522/1	Neapolis Pharma	Tunisia	CIF
10962	322/1	Neapolis Pharma	Tunisia	CIF
5120	24992/07	Novartis Pharma AG	Switzerland	CIF
6207	167811/11	Novartis Pharma AG	Switzerland	CIF
9910	60519/1	Pfizer Europe MA EEIG	Belgium	CIF
9911	60619/1	Pfizer Europe MA EEIG	Belgium	CIF
9912	60719/1	Pfizer Europe MA EEIG	Belgium	CIF
11586	8422/1	Takeda Pharmaceuticals USA Inc	USA	FOB
11587	8322/1	Takeda Pharmaceuticals USA Inc	USA	FOB
6238	218930/10	AstraZeneca UK Ltd	UK	CIF
10823	95720/1	Apotex Inc	Canada	FOB
10728	152119/1	Arrow Génériques	France	FOB
10135	161719/1	Laboratoires Biogaran	France	FOB
10821	145220/1	Apotex Inc	Canada	FOB
10031	112816/1	Hikma Pharmaceuticals	Jordan	FOB
10564	23018/1			FOB
10820	145320/1	Apotex Inc	Canada	FOB
10032	112916/1	Hikma Pharmaceuticals	Jordan	FOB
10565	23118/1			FOB
8836	117816/1	AstraZeneca AB	Sweden	CIF
6951	096691/12	F. Hoffmann La Roche Ltd	Switzerland	FOB
9727	169618/1	pfizer Canada ULC	Canada	CIF
9728	169718/1	pfizer Canada ULC	Canada	CIF
9459	178617/1	F. Hoffmann La Roche Ltd	Switzerland	FOB
10442	79720/1	Takeda Pharma AS	Denmark	CIF
10443	79820/1	Takeda Pharma AS	Denmark	CIF
10444	79920/1	Takeda Pharma AS	Denmark	CIF
10036	90419/1	Pfizer Inc	USA	CIF
10035	90519/1	Pfizer Inc	USA	CIF
8520	1716/1	Pfizer Inc	USA	CIF
